"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "JavaScript", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\Maheer\Documents\freelancer2\buildforce\.eslintrc.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Maheer\Documents\freelancer2\buildforce\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\Dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 5, 34
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\Dashboard\sections\Activity.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 3, 76
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\Dashboard\sections\Checkin.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 2, 3, 74
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\Dashboard\sections\Notifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 3, 67
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\applications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\applications\sections\TabsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 170, 0, 0, 0, 0, 5, 10, 185
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 4, 38
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\(user)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\add-project\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 268, 0, 0, 0, 0, 12, 20, 300
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\add-user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 370, 0, 0, 0, 0, 16, 22, 408
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\export-data\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 2, 4, 47
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 241, 0, 0, 0, 0, 12, 14, 267
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 368, 0, 0, 0, 0, 21, 27, 416
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 2, 48
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\admin\project-management\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 261, 0, 0, 0, 0, 12, 18, 291
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\auth\language-select\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 0, 10, 14, 167
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\auth\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 415, 0, 0, 0, 0, 36, 43, 494
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\auth\signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 183, 0, 0, 0, 0, 13, 15, 211
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 6, 123
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Maheer\Documents\freelancer2\buildforce\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
