Date : 2025-09-19 16:32:31
Directory : c:\Users\Maheer\Documents\freelancer2\buildforce
Total : 106 files,  14994 codes, 255 comments, 2031 blanks, all 17280 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         82 |      9,825 |        240 |        929 |     10,994 |
| YAML               |          2 |      4,711 |          0 |      1,047 |      5,758 |
| TypeScript         |          8 |        138 |         13 |         25 |        176 |
| CSS                |          1 |        117 |          0 |          6 |        123 |
| JSON               |          3 |         99 |          0 |          2 |        101 |
| JSON with Comments |          2 |         40 |          0 |          2 |         42 |
| JavaScript         |          2 |         36 |          2 |          6 |         44 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        106 |     14,994 |        255 |      2,031 |     17,280 |
| . (Files)                                                                                                  |         11 |      4,939 |         15 |      1,074 |      6,028 |
| app                                                                                                        |         26 |      4,441 |        182 |        333 |      4,956 |
| app (Files)                                                                                                |          3 |        176 |          0 |         16 |        192 |
| app\(user)                                                                                                 |          8 |        477 |         16 |         37 |        530 |
| app\(user) (Files)                                                                                         |          1 |         29 |          5 |          4 |         38 |
| app\(user)\Dashboard                                                                                       |          4 |        232 |          5 |         14 |        251 |
| app\(user)\Dashboard (Files)                                                                               |          1 |         26 |          3 |          5 |         34 |
| app\(user)\Dashboard\sections                                                                              |          3 |        206 |          2 |          9 |        217 |
| app\(user)\applications                                                                                    |          2 |        190 |          6 |         13 |        209 |
| app\(user)\applications (Files)                                                                            |          1 |         20 |          1 |          3 |         24 |
| app\(user)\applications\sections                                                                           |          1 |        170 |          5 |         10 |        185 |
| app\(user)\profile                                                                                         |          1 |         26 |          0 |          6 |         32 |
| app\admin                                                                                                  |          8 |      1,610 |         75 |        108 |      1,793 |
| app\admin (Files)                                                                                          |          2 |        383 |         21 |         28 |        432 |
| app\admin\add-project                                                                                      |          1 |        268 |         12 |         20 |        300 |
| app\admin\add-user                                                                                         |          1 |        370 |         16 |         22 |        408 |
| app\admin\export-data                                                                                      |          1 |         41 |          2 |          4 |         47 |
| app\admin\notifications                                                                                    |          1 |        241 |         12 |         14 |        267 |
| app\admin\profile                                                                                          |          1 |         46 |          0 |          2 |         48 |
| app\admin\project-management                                                                               |          1 |        261 |         12 |         18 |        291 |
| app\auth                                                                                                   |          3 |        741 |         59 |         72 |        872 |
| app\auth\language-select                                                                                   |          1 |        143 |         10 |         14 |        167 |
| app\auth\register                                                                                          |          1 |        415 |         36 |         43 |        494 |
| app\auth\signin                                                                                            |          1 |        183 |         13 |         15 |        211 |
| app\unverified                                                                                             |          4 |      1,437 |         32 |        100 |      1,569 |
| app\unverified\preinterview-project-showcase                                                               |          1 |        383 |         10 |         34 |        427 |
| app\unverified\preinterview-submissions                                                                    |          1 |        246 |          7 |         16 |        269 |
| app\unverified\preinterview-submissions-complete                                                           |          1 |        167 |          5 |         14 |        186 |
| app\unverified\skills-selection                                                                            |          1 |        641 |         10 |         36 |        687 |
| components                                                                                                 |         55 |      5,424 |         38 |        588 |      6,050 |
| components (Files)                                                                                         |          1 |          9 |          0 |          2 |         11 |
| components\adminComponent                                                                                  |          1 |         49 |          0 |          4 |         53 |
| components\common                                                                                          |          3 |        303 |         11 |         27 |        341 |
| components\custom                                                                                          |          3 |        269 |          8 |         30 |        307 |
| components\ui                                                                                              |         46 |      4,645 |         14 |        511 |      5,170 |
| components\userComponent                                                                                   |          1 |        149 |          5 |         14 |        168 |
| contexts                                                                                                   |          1 |         18 |          0 |          5 |         23 |
| hooks                                                                                                      |          1 |         15 |          0 |          5 |         20 |
| lib                                                                                                        |          2 |         64 |         20 |         11 |         95 |
| public                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| types                                                                                                      |          5 |         88 |          0 |         15 |        103 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
